lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies
CNDP2	0.046	0.07	0.093	0	0.609	0.738	0.012	0	0	1	0	0	3
COMMD2	0.087	0.129	0.171	0	1.97	0.374	0.021	0	0	1	0	0	3
UBIAD1	0.038	0.058	0.078	0	1.029	0.794	0.01	0	0	1	0	0	4
PFKP	-0.14	-0.1	-0.06	0	0.113	0.945	0.02	0	0	1	0.001	0.012	3
SHD	-0.211	-0.151	-0.091	0	0.856	0.652	0.031	0	0	1	0.001	0.012	3
TMCC1	-0.122	-0.088	-0.054	0	2.366	0.5	0.017	0	0	1	0.001	0.009	4
KIAA0513	-0.117	-0.083	-0.049	0	2.608	0.456	0.017	0	0	1	0.002	0.02	4
LOC91561	0.024	0.042	0.059	0	0.573	0.751	0.009	0	0	1	0.002	0.02	3
NOMO1	-0.125	-0.089	-0.052	0	0.776	0.678	0.019	0	0	1	0.002	0.02	3
FH	-0.079	-0.055	-0.031	0	2.52	0.472	0.012	0	0	1	0.004	0.04	4
LOC400566	-0.183	-0.128	-0.073	0	0.974	0.614	0.028	0	0	1	0.004	0.04	3
SLC29A1	-0.172	-0.12	-0.068	0	0.85	0.837	0.026	0	0	1	0.004	0.04	4
TMED1	0.033	0.057	0.082	0	0.861	0.65	0.012	0	0	1	0.004	0.038	3
FLJ13305	0.046	0.082	0.119	0	0.662	0.718	0.019	0	0	1	0.005	0.05	3
PEA15	0.027	0.048	0.069	0	0.209	0.976	0.011	0	0	1	0.005	0.05	4
SPARCL1	-0.049	-0.034	-0.019	0	2.405	0.493	0.008	0	0	1	0.005	0.05	4
TMEM25	-0.333	-0.231	-0.129	0	0.109	0.991	0.052	0	0	1	0.005	0.05	4
TSPAN14	0.045	0.081	0.117	0	1.355	0.716	0.018	0	0	1	0.005	0.052	4
ZFR	0.029	0.052	0.074	0	2.312	0.51	0.012	0	0	1	0.005	0.05	4
RPL23AP7	0.046	0.083	0.12	0	1.037	0.595	0.019	0	0	1	0.006	0.058	3
PIB5PA	-0.151	-0.104	-0.057	0	0.345	0.841	0.024	0	0	1	0.007	0.066	3
TCEA3	0.078	0.143	0.208	0	0.932	0.818	0.033	0	0	1	0.008	0.077	4
DFFA	0.059	0.109	0.16	0	1.707	0.635	0.026	0	0	1	0.009	0.089	4
TSPAN33	0.045	0.084	0.122	0	1.968	0.579	0.02	0	0	1	0.009	0.092	4
BSCL2	-0.064	-0.043	-0.023	0	0.443	0.931	0.01	0	0	1	0.011	0.103	4
CIRH1A	-0.095	-0.065	-0.034	0	1.259	0.533	0.015	0	0	1	0.011	0.103	3
CPLX1	-0.15	-0.102	-0.054	0	0.982	0.612	0.025	0	0	1	0.012	0.112	3
CTGF	-0.3	-0.204	-0.108	0	0.46	0.795	0.049	0	0	1	0.012	0.112	3
ISOC2	0.038	0.073	0.108	0	0.617	0.735	0.018	0	0	1	0.013	0.125	3
